"alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.002054,1.75,0.0014395,0.001,0.63909,9.4,-17.035,35.2,290.16,0.0017192,0.0001848,0.03559,0.027418,0.026752,35.2,9.4,1.7
0.0011424,1.75,0.00080017,0.001,0.63909,9.4,-17.034,35.3,290.17,0.0013159,0.00024052,0.022212,0.031835,0.035238,35.3,9.4,1.7
5.3088e-05,1.75,0.00038343,0.01,0.63923,9.4,-17.034,35.4,290.18,0.001172,0.00032342,0,0,0,35.4,9.4,1.7
0.00010088,1.75,0.00072944,0.01,0.66414,9.5,-17.01,31.9,290.16,0.0042379,0.0022184,0,0,0,31.9,9.5,1.7
0.0023183,1.75,0.0016212,0.001,0.66487,9.5,-17.01,32,290.15,0.0057549,0.0020572,-0.0022787,0.034585,-0.081224,32,9.5,1.7
0.0040707,1.75,0.0028474,0.001,0.66552,9.5,-17.01,32.1,290.14,0.0077135,0.001889,0.004535,-0.0075403,-0.14385,32.1,9.5,1.7
0.004782,1.75,0.0033459,0.001,0.66457,9.5,-17.01,32.2,290.16,0.0083178,0.0018632,0.015275,-0.04628,-0.17244,32.2,9.5,1.7
0.0050296,1.75,0.0035191,0.001,0.66225,9.5,-17.01,32.3,290.2,0.0085907,0.0018879,0.024069,-0.068852,-0.17558,32.3,9.5,1.7
0.0045001,1.75,0.0031485,0.001,0.6593,9.5,-17.01,32.4,290.25,0.0086152,0.0021482,0.028463,-0.078579,-0.15901,32.4,9.5,1.7
0.002701,1.75,0.00189,0.001,0.65672,9.5,-17.011,32.5,290.29,0.0083244,0.0041192,0.024057,-0.074231,-0.11344,32.5,9.5,1.7
0.00013755,1.75,0.0010111,0.01,0.65561,9.5,-17.011,32.6,290.31,0.0081191,0.0058736,0,0,0,32.6,9.5,1.7
6.8541e-05,1.75,0.00049254,0.01,0.64262,9.5,-17.035,34.6,290.1,0.0019429,0.00069456,0,0,0,34.6,9.5,1.7
0.0016741,1.75,0.0011714,0.001,0.64275,9.5,-17.035,34.7,290.1,0.0025488,0.00058934,0.0018425,-0.0065708,-0.041076,34.7,9.5,1.7
