"cellID","alphat","ccz","nut","V","p_rgh","ccy","p","ccx","T","k","epsilon","U:0","U:1","U:2","Cell Type"
20215,0.0042899,1.75,0.0030017,0.001,0.6576,9.85,-17.015,32.45,290.2,0.010496,0.0033031,0.00078675,-0.044054,-0.16702,12
20216,0.0014851,1.75,0.0010396,0.001,0.65564,9.85,-17.014,32.55,290.25,0.008568,0.0063551,-0.0029706,-0.017908,-0.088832,12
20217,0.00098729,1.75,0.00069109,0.001,0.64371,9.85,-17.036,34.65,290.06,0.0037942,0.0018748,-0.0032232,0.0004037,-0.067654,12
20218,0.0032103,1.75,0.0022477,0.001,0.64402,9.85,-17.036,34.75,290.04,0.004689,0.00088038,-0.013035,-0.0037262,-0.10464,12
20219,0.0040618,1.75,0.0028453,0.001,0.64429,9.85,-17.037,34.85,290.02,0.0049818,0.00078503,-0.018715,-0.0051546,-0.11743,12
20220,0.0040817,1.75,0.0028597,0.001,0.64451,9.85,-17.038,34.95,290.01,0.0049402,0.00076809,-0.019121,-0.0018303,-0.11812,12
20221,0.0038898,1.75,0.0027249,0.001,0.64407,9.85,-17.038,35.05,290,0.0048535,0.00077803,-0.012933,0.010329,-0.10283,12
20222,0.0035976,1.75,0.0025213,0.001,0.64256,9.85,-17.039,35.15,290.02,0.0045911,0.00075241,-0.0015018,0.033738,-0.066967,12
20223,0.0027063,1.75,0.0019002,0.001,0.63986,9.85,-17.039,35.25,290.07,0.003416,0.00055269,0.0087141,0.06122,-0.018328,12
20224,0.00080542,1.75,0.00056421,0.001,0.63737,9.85,-17.039,35.35,290.12,0.0025215,0.0010142,0.0042664,0.0702,0.019051,12
